"Key","Name","Type","Style","Category"
"SCRDSN","Secure Design","software","classic","Active - Security Engineering"
"SDP","Service Desk Projects","software","classic","Active"
"SECHUB","Security & Governance Requests","service_desk","classic","The Hub - Open Portal"
"SEO","Frontdoor SEO","software","classic","Active"
"SOR","Service Operations Reporting","business","classic","Active"
"SPRDMP","Strategic Plan Roadmap","product_discovery","next-gen","Active"
"SSOL","Salesforce Solution","software","classic","Active - Xray Testing"
"SSSE","Self Service Sales Engineering","software","classic","Active - Xray Testing"
"ST","Streem Shipments","software","classic","Active"
"STREEM","Streem","software","classic","Active"
"SVS","Simplefocus Vendor Support","software","classic","Active"
"TACOE","TACoE","software","classic","Active - Xray Testing"
"TALENT","Talent Acquisition","service_desk","classic","The Hub - Open Portal"
"TENXMS","10xMS","software","classic","Active"
"TESTDESK","Test Service Desk","service_desk","classic","Testing & Misc"
"TESTSOFT","Jira Software Testing Sandbox","software","classic","Testing & Misc"
"TMTEST","Team managed testing","business","next-gen","Testing & Misc"
"TMTKANB","team managed test","software","next-gen","Testing & Misc"
"TNBL","TNBL","business","classic","None"
"TO","Testing and Optimization","software","classic","Active"
"TRAIN","Training","software","classic","Active"
"UX","User Experience","software","classic","Active"
"VSA","Vendor Security Assessments","software","classic","Active - Security Engineering"
"WEBOPS","Website Operations","business","next-gen","Active"
"WORK210","2-10 eComm","business","classic","Active"
"WORKTEST","Work Management Test","business","classic","Testing & Misc"
"WOS","Work Order Services","software","classic","Read Only"
"XRAYTEST","XRay Testing","software","classic","Testing & Misc"
"ZESTY","Zesty CMS","software","classic","Active - Xray Testing"
